Name,food counter,catergory,"Median kg CO2eq / kg produce, Litre of Bone free meat",what 1 kg of carbon dioxide equivilent emmisions buys you in produce (kg),Mean kg CO2eq per kg produce,Stdev,Deviation from mean,Min kg CO2eq per kg produce,Max kg CO2eq per kg produce,Q1 kg CO2eq per kg produce,Q3 kg CO2eq per kg produce,No. of LCA studies,No. of GWP values
Cashew nut,staples,tree nuts,"1,44","0,694","1,55","0,85",55%,"1,06","2,27","1,29","1,7",3,4
Walnuts,staples,tree nuts,"1,51","0,662","1,62","1,13",70%,"0,5","2,94","1,32","2,54",3,4
Pistachios,staples,tree nuts,"1,53","0,654","1,53","0,91",60%,"0,88","2,17","1,2","1,85",1,2
Almonds,staples,tree nuts,"1,54","0,649","1,74","1,25",72%,"0,51","3,77","0,76","2,33",4,6
Milk: Central and Sth America,dairy fridge,milk,"1,55","0,645","1,69","0,61",36%,"1,14","3,3","1,41","1,68",5,10
Pollock,meat,fish counter,"1,6","0,625","1,65","0,47",29%,"1,2","2,14","1,4","1,87",2,3
Strawberries: heated greenhouse,greenhouse,aggregate fruit,"1,64","0,61","2,56","2,32",91%,"0,84","5,2","1,24","3,42",3,3
Carp,meat,fish counter,"1,76","0,568","1,8","0,11",6%,"1,73","1,93","1,74","1,84",1,3
Zucchini: passive greenhouse,greenhouse,pepo,"1,77","0,565","1,77","0,24",13%,"1,6","1,94","1,69","1,86",1,2
Mackerel,meat,fish counter,"1,8","0,556",2,"1,08",54%,"0,94","4,5","1,3","2,4",9,21
Milk: Asia,dairy fridge,milk,"2,02","0,495","2,53","1,09",43%,"1,38","4,6","1,94","2,92",2,7
Rape and mustard seed,staples,seeds,"2,09","0,478",,,,,,,,1,1
Cucumbers and gherkins: heated greenhouse,greenhouse,pepo,"2,1","0,476","2,23","0,71",17%,"1,68","3,79","1,89","2,12",5,7
Tuna,meat,fish counter,"2,15","0,465","2,6","1,45",56%,"1,39","6,32","1,75","2,68",4,10
Tomatoes: heated greenhouse,staples,tree nuts,"2,2","0,455","2,69","1,36",51%,"0,92","6,12","1,86","3,65",13,33
Milk: Africa,dairy fridge,milk,"2,5","0,4","3,34","1,9",57%,"1,02","7,5","1,98","3,7",2,5
Rice,staples,cereal,"2,55","0,392","2,66","1,29",48%,"0,66","5,69","1,64","3,08",12,27
Whiting,meat,fish counter,"2,66","0,376","2,66","1,59",60%,"1,54","3,79","2,1","3,22",2,2
Duck,meat,non-ruminants,"3,09","0,324","3,09","1,44",47%,"2,07","4,1","2,58","3,59",2,2
Sea bass,meat,fish counter,"3,27","0,306","3,55","1,63",46%,"1,91","5,76","2,68","4,14",2,4
Haddock,meat,fish counter,"3,41","0,293","3,37","0,08",3%,"2,8","3,84","3,03","3,75",2,4
Eggs,meat,non-ruminants,"3,46","0,289","3,39","1,21",36%,"1,3",6,"2,45","4,05",19,38
Salmon,meat,fish counter,"3,47","0,288","3,76","1,47",39%,"2,04","8,33","2,88","4,13",9,21
Fish: all species,meat,fish counter,"3,49","0,287","4,41","3,62",82%,"0,78","20,86","1,99","5,16",47,148
Cod,meat,fish counter,"3,51","0,285","3,49","1,31",37%,"1,58","5,38","2,25","4,5",10,16
Buffalo milk,dairy fridge,bufalo milk,"3,57","0,28","3,75","0,86",23%,"2,87","5,2","3,14","4,18",1,7
Chicken,meat,non-ruminants,"3,65","0,274","4,12","1,72",42%,"1,06","9,98","2,77","5,31",29,95
Lettuce: heated greenhouse,greenhouse,leaves,"3,7","0,27","3,15","1,64",52%,"1,3","4,73","1,5","4,51",3,5
Eel,meat,fish counter,"3,88","0,258",,,,,,,,1,1
Kangaroo,meat,non-ruminant,"4,1","0,244",,,,,,,,1,1
Trout,meat,fish counter,"4,2","0,238","3,73","1,13",30%,"1,37","5,95","3,11","4,33",9,20
Rabbit,meat,non-ruminant,"4,7","0,213","4,7","1,24",26%,"3,82","5,58","4,26","5,14",2,2
Pork EU,meat,non-ruminants,"5,39","0,186","5,6","1,51",27%,"3,2","10,25","4,31","6,45",24,91
Cream,dairy fridge,Cream,"5,64","0,177","5,32","1,62",31%,"2,1","7,92","3,82","7,14",3,4
Pork world average,meat,non-ruminants,"5,74","0,174","5,85","1,63",28%,"3,2","11,86","4,5","6,6",38,129
Pork Nth America,meat,non-ruminants,6,"0,167","6,24","1,46",23%,"4,3","8,53","4,97","7,58",6,9
Pork UK,meat,non-ruminants,"6,11","0,164","5,57","1,13",20%,"3,5","6,92","4,54","6,34",5,13
Ling common,meat,fish counter,"6,45","0,155","6,45","4,69",73%,"3,13","9,77","4,79","8,11",2,2
Pomfret,meat,fish counter,"6,63","0,151","6,63","4,44",67%,"3,49","9,77","5,06","8,2",2,2
Rock fish,meat,fish counter,"6,94","0,144",,,,,,,,1,1
Octopus/squid/cuttlefish,meat,fish counter,"7,13","0,14","8,07","2,4",30%,"6,39","11,61","6,78","8,42",3,4
Turkey,meat,non-ruminants,"7,17","0,139","6,04","0,66",11%,"3,34","8,49","3,82","7,83",3,7
Pork AU,meat,non-ruminants,"7,65","0,131","7,12","1,81",25%,"3,9","9,49","5,83","8,46",3,11
Prawns/shrimp,meat,shelfish,"7,8","0,128","14,85","12,37",83%,"5,25",38,"6,76","20,2",7,11
Diamond fish,meat,fish counter,"8,33","0,12","8,33","3,27",39%,"6,02","10,65","7,17","9,49",2,2
Rhombus,meat,fish counter,"8,41","0,119",,,,,,,,1,1
Cheese,dairy fridge,Cheese,"8,55","0,117","8,86","2,07",23%,"5,33","16,35","7,79","9,58",22,38
Butter,dairy fridge,Butter,"9,25","0,108","11,52","7,37",64%,"3,7",25,"7,28","12,41",4,8
Mussels,meat,shelfish,"9,51","0,105","7,54","4,93",65%,"1,92","13,9","2,54","9,84",3,5
Hake,meat,fish counter,"9,77","0,102","8,98","3,93",44%,"2,14","14,15","7,07","11,32",5,7
Porbeagle,meat,fish counter,"11,44","0,087",,,,,,,,1,1
Shark mako,meat,fish counter,"11,5","0,087","11,5","0,09",1%,"11,44","11,56","11,47","11,53",2,2
Anglerfish,meat,fish counter,"12,29","0,081","12,29","2,63",21%,"10,43","14,15","11,36","13,22",2,2
Swordfish,meat,fish counter,"12,84","0,078","12,84","1,98",15%,"11,44","14,24","12,14","13,54",2,2
Megrim,meat,fish counter,"14,15","0,071",,,,,,,,1,1
Turbot,meat,fish counter,"14,51","0,069","14,51","6,91",48%,"9,63","19,4","12,07","16,96",2,2
Lamb AU & NZ,meat,ruminants,"17,63","0,057","19,01","6,57",35%,"10,05","33,49","16,3","21,06",9,19
Sole,meat,fish counter,"20,86","0,048",,,,,,,,1,1
Beef Australia,meat,ruminants,"22,88","0,044","23,06","4,79",21%,"14,38","34,53","21,64","25,41",8,24
Lamb UK,meat,ruminants,"24,48","0,041","25,84","9,43",36%,"11,04","43,17","21,48","30,07",7,12
Beef EU,meat,ruminants,"24,96","0,04","26,05","6,78",26%,"10,74","42,3","21,69","29,07",25,75
Lamb world averagea,meat,ruminants,"25,58","0,039","27,91","11,93",43%,"10,05","56,7","17,61","33,85",22,56
Beef UK,meat,ruminants,"26,57","0,038","25,76","6,27",24%,"12,37","37,92","21,05","29,22",12,26
Beef: world average,meat,ruminants,"26,61","0,038","28,73","12,47",43%,"10,74","109,3","22,26","31,57",49,165
Beef world average,meat,ruminants,"26,61","0,038","28,73","12,47",43%,"10,74","109,35","22,26","31,57",49,165
Beef Nth America,meat,ruminants,"26,82","0,037","28,55","6,48",23%,"19,6","41,73","23,41","30,53",9,13
Lobster,meat,shelfish,"27,8","0,036","21,74","11,7",56%,"7,62","28,3","17,71","28,05",3,2
Lamb EU,meat,ruminants,"32,7","0,031","33,84","13,06",39%,"14,72","56,7","25,95","41,23",4,16
Beef Sth America,meat,ruminants,"34,1","0,029","38,33","12,48",33%,22,"69,06","30,03",42,14,21
Buffalo,meat,ruminants,"60,43","0,017","62,59","20,35",33%,"28,78","100,7","43,88","79,14",1,4
